"","Robos_vivienda","Robos_personas","distancia_estacion_policia"
"4917",156,1609,1191.94231476917
"4918",156,1609,853.239520894129
"4919",156,1609,985.159799234112
"4920",156,1609,826.477780127937
"4921",156,1609,1297.71645071562
"4922",156,1609,642.273035513508
"4923",156,1609,642.800544868278
"4924",156,1609,1614.34308884527
"4925",156,1609,892.612171400265
"4926",156,1609,402.881633325818
"4927",156,1609,625.071091808177
"4928",156,1609,869.209076434552
"4929",156,1609,1313.09271539437
"4930",156,1609,171.619586949053
"4931",156,1609,1041.61037911984
"4932",156,1609,590.206861255933
"4933",156,1609,716.197940808563
"4934",156,1609,990.147538205863
"4935",156,1609,785.06333692385
"4936",156,1609,588.266900859907
"4937",156,1609,502.484488069004
"4938",156,1609,860.547958843909
"4939",156,1609,434.594686513298
"4940",156,1609,990.147538205863
"4941",156,1609,1477.23695577449
"4942",156,1609,1313.09271539437
"4943",156,1609,502.484488069004
"4944",156,1609,754.363743640167
"4945",156,1609,1010.08437319741
"4946",156,1609,588.266900859907
"4947",156,1609,196.905378510839
"4948",156,1609,850.898074439952
"4949",101,1202,697.645932572595
"4950",101,1202,948.764512736992
"4951",21,1094,345.023788078992
"4952",21,1094,323.229161688198
"4953",101,1202,490.193659817869
"4954",88,1055,585.936369270587
"4955",88,1055,562.631403266793
"4956",88,1055,620.196433280856
"4957",53,926,339.204740651609
"4958",105,1440,613.602474102791
"4959",105,1440,384.105627215975
"4960",105,1440,271.030155688318
"4961",239,2612,771.012051947317
"4962",105,1440,613.808604372295
"4963",105,1440,838.971279613339
"4964",105,1440,458.810573025992
"4965",105,1440,918.728370902922
"4966",239,2612,896.789322546443
"4967",233,2337,521.833967701576
"4968",233,2337,852.921057304813
"4969",233,2337,760.788327510949
"4970",233,2337,561.936132239485
"4971",233,2337,363.534861801076
"4972",273,2652,757.307330576254
"4973",273,2652,732.023139304439
"4974",273,2652,418.203761349414
"4975",156,1609,1400.45991786198
"4976",156,1609,636.96416819993
"4977",156,1609,905.221557766979
"4978",156,1609,912.43123009187
"4979",156,1609,642.800544868278
"4980",233,2337,435.80678835883
"4981",156,1609,957.856646809334
"4982",156,1609,1147.03677782767
"4983",156,1609,398.314535737915
"4984",156,1609,543.42017105218
"4985",156,1609,1148.14464137836
