"","Robos_vivienda","Robos_personas"
"348",156,1609
"349",156,1609
"350",156,1609
"351",156,1609
"352",156,1609
"353",156,1609
"354",156,1609
"355",156,1609
"356",156,1609
"357",156,1609
"358",156,1609
"359",156,1609
"360",156,1609
"361",156,1609
"362",156,1609
"363",156,1609
"364",156,1609
"365",156,1609
"366",156,1609
"367",156,1609
"368",156,1609
"369",156,1609
"370",156,1609
"371",156,1609
"372",156,1609
"373",156,1609
"374",156,1609
"375",156,1609
"376",156,1609
"377",156,1609
"378",156,1609
"379",156,1609
"380",156,1609
"381",156,1609
"382",156,1609
"383",156,1609
"384",156,1609
"385",156,1609
"386",156,1609
"387",156,1609
"388",156,1609
"389",156,1609
"390",156,1609
"391",156,1609
"392",156,1609
"393",156,1609
"394",156,1609
"395",156,1609
"396",156,1609
"397",156,1609
"398",156,1609
"399",156,1609
"400",156,1609
"401",156,1609
"402",156,1609
"403",156,1609
"404",156,1609
"405",156,1609
"406",156,1609
"407",156,1609
"408",156,1609
"409",156,1609
"410",156,1609
"411",156,1609
"412",156,1609
"413",156,1609
"414",156,1609
"415",156,1609
"416",156,1609
"417",156,1609
"418",156,1609
"419",156,1609
"420",156,1609
"421",156,1609
"422",156,1609
"423",156,1609
"424",156,1609
"425",156,1609
"426",156,1609
"427",156,1609
"428",156,1609
"429",156,1609
"430",156,1609
"431",156,1609
"432",105,1440
"433",105,1440
"434",105,1440
"435",88,1055
"436",88,1055
"437",88,1055
"438",88,1055
"439",88,1055
"440",88,1055
"441",88,1055
"442",88,1055
"443",88,1055
"444",88,1055
"445",21,1094
"446",101,1202
"447",101,1202
"448",101,1202
"449",53,926
"450",53,926
"451",53,926
"452",53,926
"453",53,926
"454",53,926
"455",53,926
"456",53,926
"457",53,926
"458",53,926
"459",53,926
"460",53,926
"461",53,926
"462",53,926
"463",53,926
"464",53,926
"465",53,926
"466",53,926
"467",53,926
"468",53,926
"469",53,926
"470",239,2612
"471",156,1609
"472",53,926
"473",57,985
"474",156,1609
"475",156,1609
"476",156,1609
"477",156,1609
"478",156,1609
"479",156,1609
"480",156,1609
"481",88,1055
"482",156,1609
"483",156,1609
"484",105,1440
"485",105,1440
"486",105,1440
"487",156,1609
"488",156,1609
"489",156,1609
"490",53,926
"491",156,1609
"492",156,1609
"493",156,1609
"494",273,2652
"495",233,2337
"496",273,2652
"497",239,2612
"498",156,1609
"499",156,1609
"500",156,1609
"501",156,1609
"502",156,1609
"503",21,1094
"504",233,2337
"505",156,1609
"506",156,1609
"507",239,2612
"508",105,1124
"509",41,543
"510",156,1609
"511",156,1609
"512",156,1609
"513",156,1609
"514",156,1609
"515",156,1609
"516",156,1609
"517",156,1609
"518",156,1609
"519",156,1609
"520",156,1609
"521",156,1609
"522",156,1609
"523",156,1609
"524",156,1609
"525",156,1609
"526",156,1609
"527",156,1609
"528",156,1609
"529",156,1609
"530",156,1609
"531",156,1609
"532",156,1609
"533",156,1609
"534",156,1609
"535",156,1609
"536",156,1609
"537",156,1609
"538",156,1609
"539",156,1609
"540",156,1609
"541",156,1609
"542",156,1609
"543",156,1609
"544",156,1609
"545",156,1609
"546",156,1609
"547",156,1609
"548",156,1609
"549",156,1609
"550",156,1609
"551",156,1609
"552",156,1609
"553",156,1609
"554",156,1609
"555",156,1609
"556",156,1609
"557",156,1609
"558",156,1609
"559",156,1609
"560",156,1609
"561",156,1609
"562",156,1609
"563",156,1609
"564",156,1609
"565",156,1609
"566",156,1609
"567",156,1609
"568",156,1609
"569",101,1202
"570",21,1094
"571",21,1094
"572",101,1202
"573",88,1055
"574",53,926
"575",105,1440
"576",105,1440
"577",239,2612
"578",239,2612
"579",88,1055
"580",239,2612
"581",239,2612
"582",105,1440
"583",88,1055
"584",239,2612
"585",233,2337
"586",233,2337
"587",233,2337
"588",233,2337
"589",233,2337
"590",233,2337
"591",233,2337
"592",273,2652
"593",273,2652
"594",273,2652
"595",273,2652
"596",156,1609
"597",156,1609
"598",156,1609
"599",53,926
"600",105,1440
"601",239,2612
"602",273,2652
"603",156,1609
"604",156,1609
"605",101,1202
"606",41,543
"607",156,1609
"608",156,1609
"609",156,1609
"610",156,1609
"611",156,1609
"612",156,1609
"613",88,1055
